Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
1003,01/03/2019,21.88,-102.72,1003,-99,-99,Lerma Santiago,Valle,28.54462,8.47449,-99,-99,17.70834,NA,NA,NA,NA,NA,0
1003,02/03/2019,21.88,-102.72,1003,-99,-99,Lerma Santiago,Valle,28.94238,8.73407,-99,-99,18.08676,NA,NA,NA,NA,NA,0
1004,01/03/2019,22,-102.2,1004,-99,-99,Lerma Santiago,Llanura,27.94733,8.61169,-99,-99,17.2453,NA,NA,NA,NA,NA,0
1004,02/03/2019,22,-102.2,1004,-99,-99,Lerma Santiago,Llanura,28.2049,9.20483,-99,-99,18.13934,NA,NA,NA,NA,NA,0
1005,01/03/2019,21.78,-102.37,1005,-99,-99,Lerma Santiago,Valle,28.54199,8.86298,-99,-99,17.86432,NA,NA,NA,NA,NA,0
1005,02/03/2019,21.78,-102.37,1005,-99,-99,Lerma Santiago,Valle,28.84955,8.93924,-99,-99,18.42719,NA,NA,NA,NA,NA,0
1007,01/03/2019,21.96,-102.35,1007,-99,-99,Lerma Santiago,Llanura,28.22089,8.2475,-99,-99,17.34335,NA,NA,NA,NA,NA,0
1007,02/03/2019,21.96,-102.35,1007,-99,-99,Lerma Santiago,Llanura,28.47696,8.55161,-99,-99,17.89545,NA,NA,NA,NA,NA,0
1008,01/03/2019,22.2,-102.14,1008,-99,-99,Lerma Santiago,Sierra,27.71164,8.61972,-99,-99,17.14053,NA,NA,NA,NA,NA,0
1008,02/03/2019,22.2,-102.14,1008,-99,-99,Lerma Santiago,Sierra,28.16934,9.50174,-99,-99,18.25198,NA,NA,NA,NA,NA,0
1009,01/03/2019,21.96,-102.7,1009,-99,-99,Lerma Santiago,Valle,28.41757,8.24878,-99,-99,17.52078,NA,NA,NA,NA,NA,0
1009,02/03/2019,21.96,-102.7,1009,-99,-99,Lerma Santiago,Valle,28.78381,8.55542,-99,-99,17.89435,NA,NA,NA,NA,NA,0
1010,01/03/2019,22.16,-102.55,1010,-99,-99,Lerma Santiago,Meseta,27.86832,7.76813,-99,-99,16.9931,NA,NA,NA,NA,NA,0
1010,02/03/2019,22.16,-102.55,1010,-99,-99,Lerma Santiago,Meseta,28.24634,8.14853,-99,-99,17.37817,NA,NA,NA,NA,NA,0
1011,01/03/2019,21.86,-102.66,1011,-99,-99,Lerma Santiago,Valle,28.53052,8.47824,-99,-99,17.69769,NA,NA,NA,NA,NA,0
1011,02/03/2019,21.86,-102.66,1011,-99,-99,Lerma Santiago,Valle,28.87698,8.65741,-99,-99,18.10492,NA,NA,NA,NA,NA,0
1012,01/03/2019,21.79,-102.8,1012,-99,-99,Lerma Santiago,Valle,28.84561,8.88815,-99,-99,18.09189,NA,NA,NA,NA,NA,0
1012,02/03/2019,21.79,-102.8,1012,-99,-99,Lerma Santiago,Valle,29.3623,9.12524,-99,-99,18.42825,NA,NA,NA,NA,NA,0
1013,01/03/2019,22.31,-102.17,1013,-99,-99,Lerma Santiago,Llanura,27.5903,8.37244,-99,-99,17.04044,NA,NA,NA,NA,NA,0
1013,02/03/2019,22.31,-102.17,1013,-99,-99,Lerma Santiago,Llanura,28.19226,9.29031,-99,-99,18.08426,NA,NA,NA,NA,NA,0
1014,01/03/2019,22.17,-102.29,1014,-99,-99,Lerma Santiago,Llanura,27.78955,8.07394,-99,-99,17.02344,NA,NA,NA,NA,NA,0
1014,02/03/2019,22.17,-102.29,1014,-99,-99,Lerma Santiago,Llanura,28.17563,8.62183,-99,-99,17.67328,NA,NA,NA,NA,NA,0
1015,01/03/2019,21.92,-101.97,1015,-99,-99,Lerma Santiago,Llanura,27.642,9.40564,-99,-99,17.31281,NA,NA,NA,NA,NA,0
1015,02/03/2019,21.92,-101.97,1015,-99,-99,Lerma Santiago,Llanura,27.93088,10.26791,-99,-99,18.70374,NA,NA,NA,NA,NA,0
1016,01/03/2019,21.71,-102.28,1016,-99,-99,Lerma Santiago,Llanura,28.509,9.36191,-99,-99,18.05621,NA,NA,NA,NA,NA,0
1016,02/03/2019,21.71,-102.28,1016,-99,-99,Lerma Santiago,Llanura,28.84998,9.42514,-99,-99,18.80148,NA,NA,NA,NA,NA,0
1017,01/03/2019,22.23,-102.44,1017,-99,-99,Lerma Santiago,Meseta,27.64996,7.72372,-99,-99,16.85638,NA,NA,NA,NA,NA,0
1017,02/03/2019,22.23,-102.44,1017,-99,-99,Lerma Santiago,Meseta,28.08765,8.17639,-99,-99,17.28247,NA,NA,NA,NA,NA,0
1018,01/03/2019,22.14,-102.42,1018,-99,-99,Lerma Santiago,Cuerpo de agua,27.88303,7.83017,-99,-99,17.00742,NA,NA,NA,NA,NA,0
1018,02/03/2019,22.14,-102.42,1018,-99,-99,Lerma Santiago,Cuerpo de agua,28.233,8.21603,-99,-99,17.45078,NA,NA,NA,NA,NA,0
1019,01/03/2019,22.13,-102.36,1019,-99,-99,Lerma Santiago,Meseta,27.89139,7.93277,-99,-99,17.03769,NA,NA,NA,NA,NA,0
1019,02/03/2019,22.13,-102.36,1019,-99,-99,Lerma Santiago,Meseta,28.23334,8.358,-99,-99,17.55078,NA,NA,NA,NA,NA,0
1020,01/03/2019,22,-102.67,1020,-99,-99,Lerma Santiago,Valle,28.36148,8.14023,-99,-99,17.43115,NA,NA,NA,NA,NA,0
1020,02/03/2019,22,-102.67,1020,-99,-99,Lerma Santiago,Valle,28.69684,8.43924,-99,-99,17.80762,NA,NA,NA,NA,NA,0
1021,01/03/2019,22.12,-102.51,1021,-99,-99,Lerma Santiago,Meseta,27.95428,7.78513,-99,-99,17.04025,NA,NA,NA,NA,NA,0
1021,02/03/2019,22.12,-102.51,1021,-99,-99,Lerma Santiago,Meseta,28.29587,8.12582,-99,-99,17.42615,NA,NA,NA,NA,NA,0
1022,01/03/2019,21.75,-102.17,1022,-99,-99,Lerma Santiago,Llanura,28.11823,9.47174,-99,-99,17.78922,NA,NA,NA,NA,NA,0
1022,02/03/2019,21.75,-102.17,1022,-99,-99,Lerma Santiago,Llanura,28.45267,9.78555,-99,-99,18.81329,NA,NA,NA,NA,NA,0
1023,01/03/2019,21.84,-102.71,1023,-99,-99,Lerma Santiago,Valle,28.61191,8.59882,-99,-99,17.80811,NA,NA,NA,NA,NA,0
1023,02/03/2019,21.84,-102.71,1023,-99,-99,Lerma Santiago,Valle,29.00726,8.79996,-99,-99,18.19891,NA,NA,NA,NA,NA,0
1024,01/03/2019,21.78,-102.1,1024,-99,-99,Lerma Santiago,Llanura,27.89139,9.54401,-99,-99,17.62894,NA,NA,NA,NA,NA,0
1024,02/03/2019,21.78,-102.1,1024,-99,-99,Lerma Santiago,Llanura,28.21927,10.03522,-99,-99,18.83069,NA,NA,NA,NA,NA,0
1025,01/03/2019,22.08,-102.27,1025,-99,-99,Lerma Santiago,Llanura,27.92139,8.22211,-99,-99,17.12341,NA,NA,NA,NA,NA,0
1025,02/03/2019,22.08,-102.27,1025,-99,-99,Lerma Santiago,Llanura,28.22827,8.74612,-99,-99,17.82318,NA,NA,NA,NA,NA,0
1026,01/03/2019,22.22,-102.17,1026,-99,-99,Lerma Santiago,Sierra,27.69315,8.4776,-99,-99,17.09659,NA,NA,NA,NA,NA,0
1026,02/03/2019,22.22,-102.17,1026,-99,-99,Lerma Santiago,Sierra,28.16986,9.31339,-99,-99,18.11771,NA,NA,NA,NA,NA,0
1027,01/03/2019,21.88,-102.46,1027,-99,-99,Lerma Santiago,Valle,28.41763,8.36111,-99,-99,17.55719,NA,NA,NA,NA,NA,0
1027,02/03/2019,21.88,-102.46,1027,-99,-99,Lerma Santiago,Valle,28.69073,8.50778,-99,-99,18.01587,NA,NA,NA,NA,NA,0
1028,01/03/2019,22.1,-102.07,1028,-99,-99,Lerma Santiago,Llanura,27.7196,8.94162,-99,-99,17.20084,NA,NA,NA,NA,NA,0
1028,02/03/2019,22.1,-102.07,1028,-99,-99,Lerma Santiago,Llanura,28.07556,9.87936,-99,-99,18.46515,NA,NA,NA,NA,NA,0
1029,01/03/2019,22.24,-102.09,1029,-99,-99,El Salado,Sierra,27.68896,8.75171,-99,-99,17.18243,NA,NA,NA,NA,NA,0
1029,02/03/2019,22.24,-102.09,1029,-99,-99,El Salado,Sierra,28.21735,9.7644,-99,-99,18.45068,NA,NA,NA,NA,NA,0
1030,01/03/2019,21.9,-102.31,1030,-99,-99,Lerma Santiago,Llanura,28.23715,8.47845,-99,-99,17.44955,NA,NA,NA,NA,NA,0
1030,02/03/2019,21.9,-102.31,1030,-99,-99,Lerma Santiago,Llanura,28.50681,8.78494,-99,-99,18.07816,NA,NA,NA,NA,NA,0
1031,01/03/2019,22.02,-102,1031,-99,-99,Lerma Santiago,Llanura,27.66245,9.13406,-99,-99,17.20102,NA,NA,NA,NA,NA,0
1031,02/03/2019,22.02,-102,1031,-99,-99,Lerma Santiago,Llanura,27.96994,10.12613,-99,-99,18.56387,NA,NA,NA,NA,NA,0
1032,01/03/2019,22.04,-101.89,1032,-99,-99,Lerma Santiago,Llanura,27.61862,9.24231,-99,-99,17.20822,NA,NA,NA,NA,NA,0
1032,02/03/2019,22.04,-101.89,1032,-99,-99,Lerma Santiago,Llanura,27.94742,10.31152,-99,-99,18.66711,NA,NA,NA,NA,NA,0
1033,01/03/2019,21.9,-101.99,1033,-99,-99,Lerma Santiago,Llanura,27.6604,9.41635,-99,-99,17.3396,NA,NA,NA,NA,NA,0
1033,02/03/2019,21.9,-101.99,1033,-99,-99,Lerma Santiago,Llanura,27.95343,10.23953,-99,-99,18.71204,NA,NA,NA,NA,NA,0
1034,01/03/2019,21.89,-102.11,1034,-99,-99,Lerma Santiago,Lomer?o,27.82672,9.1438,-99,-99,17.37189,NA,NA,NA,NA,NA,0
1034,02/03/2019,21.89,-102.11,1034,-99,-99,Lerma Santiago,Lomer?o,28.1134,9.81262,-99,-99,18.52695,NA,NA,NA,NA,NA,0
1035,01/03/2019,21.91,-102.13,1035,-99,-99,Lerma Santiago,Llanura,27.85425,9.02582,-99,-99,17.34225,NA,NA,NA,NA,NA,0
1035,02/03/2019,21.91,-102.13,1035,-99,-99,Lerma Santiago,Llanura,28.13367,9.68518,-99,-99,18.44211,NA,NA,NA,NA,NA,0
1045,01/03/2019,22.08,-102.09,1045,-99,-99,Lerma Santiago,Lomer?o,27.73923,8.89386,-99,-99,17.19415,NA,NA,NA,NA,NA,0
1045,02/03/2019,22.08,-102.09,1045,-99,-99,Lerma Santiago,Lomer?o,28.07358,9.78629,-99,-99,18.40582,NA,NA,NA,NA,NA,0
1047,01/03/2019,21.97,-102.58,1047,-99,-99,Lerma Santiago,Meseta,28.34244,8.10703,-99,-99,17.39789,NA,NA,NA,NA,NA,0
1047,02/03/2019,21.97,-102.58,1047,-99,-99,Lerma Santiago,Meseta,28.62558,8.33084,-99,-99,17.79489,NA,NA,NA,NA,NA,0
1057,01/03/2019,21.87,-102.47,1057,-99,-99,Lerma Santiago,Valle,28.43909,8.39371,-99,-99,17.58813,NA,NA,NA,NA,NA,0
1057,02/03/2019,21.87,-102.47,1057,-99,-99,Lerma Santiago,Valle,28.71497,8.52615,-99,-99,18.04492,NA,NA,NA,NA,NA,0
1062,01/03/2019,21.8,-102.27,1062,-99,-99,Lerma Santiago,Llanura,28.31976,8.95856,-99,-99,17.72314,NA,NA,NA,NA,NA,0
1062,02/03/2019,21.8,-102.27,1062,-99,-99,Lerma Santiago,Llanura,28.62451,9.18884,-99,-99,18.46088,NA,NA,NA,NA,NA,0
1063,01/03/2019,21.73,-102.28,1063,-99,-99,Lerma Santiago,Llanura,28.47296,9.26645,-99,-99,17.98465,NA,NA,NA,NA,NA,0
1063,02/03/2019,21.73,-102.28,1063,-99,-99,Lerma Santiago,Llanura,28.80573,9.36273,-99,-99,18.72241,NA,NA,NA,NA,NA,0
1073,01/03/2019,21.81,-102.13,1073,-99,-99,Lerma Santiago,Lomer?o,27.93491,9.34384,-99,-99,17.569,NA,NA,NA,NA,NA,0
1073,02/03/2019,21.81,-102.13,1073,-99,-99,Lerma Santiago,Lomer?o,28.24768,9.84686,-99,-99,18.68939,NA,NA,NA,NA,NA,0
1074,01/03/2019,21.73,-102.45,1074,-99,-99,Lerma Santiago,Lomer?o,28.71893,9.04086,-99,-99,18.07996,NA,NA,NA,NA,NA,0
1074,02/03/2019,21.73,-102.45,1074,-99,-99,Lerma Santiago,Lomer?o,29.04337,9.00574,-99,-99,18.5976,NA,NA,NA,NA,NA,0
1075,01/03/2019,21.76,-102.3,1075,-99,-99,Lerma Santiago,Llanura,28.4631,9.077,-99,-99,17.89273,NA,NA,NA,NA,NA,0
1075,02/03/2019,21.76,-102.3,1075,-99,-99,Lerma Santiago,Llanura,28.78201,9.19662,-99,-99,18.57657,NA,NA,NA,NA,NA,0
1076,01/03/2019,21.87,-102.35,1076,-99,-99,Lerma Santiago,Llanura,28.34265,8.50275,-99,-99,17.5498,NA,NA,NA,NA,NA,0
1076,02/03/2019,21.87,-102.35,1076,-99,-99,Lerma Santiago,Llanura,28.61951,8.72141,-99,-99,18.11407,NA,NA,NA,NA,NA,0
1077,01/03/2019,21.78,-102.52,1077,-99,-99,Lerma Santiago,Valle,28.64551,8.77423,-99,-99,17.91016,NA,NA,NA,NA,NA,0
1077,02/03/2019,21.78,-102.52,1077,-99,-99,Lerma Santiago,Valle,28.95782,8.79303,-99,-99,18.37531,NA,NA,NA,NA,NA,0
1078,01/03/2019,21.89,-102.83,1078,-99,-99,Lerma Santiago,Meseta,28.66699,8.63647,-99,-99,17.8714,NA,NA,NA,NA,NA,0
1078,02/03/2019,21.89,-102.83,1078,-99,-99,Lerma Santiago,Meseta,29.20374,9.04434,-99,-99,18.19073,NA,NA,NA,NA,NA,0
1079,01/03/2019,21.73,-102.27,1079,-99,-99,Lerma Santiago,Llanura,28.44717,9.2897,-99,-99,17.97449,NA,NA,NA,NA,NA,0
1079,02/03/2019,21.73,-102.27,1079,-99,-99,Lerma Santiago,Llanura,28.78076,9.3999,-99,-99,18.7352,NA,NA,NA,NA,NA,0
1080,01/03/2019,21.84,-102.52,1080,-99,-99,Lerma Santiago,Valle,28.52032,8.5015,-99,-99,17.69934,NA,NA,NA,NA,NA,0
1080,02/03/2019,21.84,-102.52,1080,-99,-99,Lerma Santiago,Valle,28.8136,8.59256,-99,-99,18.14026,NA,NA,NA,NA,NA,0
1081,01/03/2019,22.09,-101.97,1081,-99,-99,Lerma Santiago,Llanura,27.65936,9.14703,-99,-99,17.21906,NA,NA,NA,NA,NA,0
1081,02/03/2019,22.09,-101.97,1081,-99,-99,Lerma Santiago,Llanura,28.02209,10.19669,-99,-99,18.63834,NA,NA,NA,NA,NA,0
