,Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
0,1003,01/03/2019,21.88,-102.72,1003,-99.0,-99.0,Lerma Santiago,Valle,28.54462,8.47449,-99.0,-99.0,17.70834,,,,,,0
1,1003,02/03/2019,21.88,-102.72,1003,-99.0,-99.0,Lerma Santiago,Valle,28.94238,8.73407,-99.0,-99.0,18.08676,,,,,,0
4,1005,01/03/2019,21.78,-102.37,1005,-99.0,-99.0,Lerma Santiago,Valle,28.54199,8.86298,-99.0,-99.0,17.86432,,,,,,0
5,1005,02/03/2019,21.78,-102.37,1005,-99.0,-99.0,Lerma Santiago,Valle,28.84955,8.93924,-99.0,-99.0,18.42719,,,,,,0
10,1009,01/03/2019,21.96,-102.7,1009,-99.0,-99.0,Lerma Santiago,Valle,28.41757,8.24878,-99.0,-99.0,17.52078,,,,,,0
11,1009,02/03/2019,21.96,-102.7,1009,-99.0,-99.0,Lerma Santiago,Valle,28.78381,8.55542,-99.0,-99.0,17.89435,,,,,,0
14,1011,01/03/2019,21.86,-102.66,1011,-99.0,-99.0,Lerma Santiago,Valle,28.53052,8.47824,-99.0,-99.0,17.69769,,,,,,0
15,1011,02/03/2019,21.86,-102.66,1011,-99.0,-99.0,Lerma Santiago,Valle,28.87698,8.65741,-99.0,-99.0,18.10492,,,,,,0
16,1012,01/03/2019,21.79,-102.8,1012,-99.0,-99.0,Lerma Santiago,Valle,28.84561,8.88815,-99.0,-99.0,18.09189,,,,,,0
17,1012,02/03/2019,21.79,-102.8,1012,-99.0,-99.0,Lerma Santiago,Valle,29.3623,9.12524,-99.0,-99.0,18.42825,,,,,,0
32,1020,01/03/2019,22.0,-102.67,1020,-99.0,-99.0,Lerma Santiago,Valle,28.36148,8.14023,-99.0,-99.0,17.43115,,,,,,0
33,1020,02/03/2019,22.0,-102.67,1020,-99.0,-99.0,Lerma Santiago,Valle,28.69684,8.43924,-99.0,-99.0,17.80762,,,,,,0
38,1023,01/03/2019,21.84,-102.71,1023,-99.0,-99.0,Lerma Santiago,Valle,28.61191,8.59882,-99.0,-99.0,17.80811,,,,,,0
39,1023,02/03/2019,21.84,-102.71,1023,-99.0,-99.0,Lerma Santiago,Valle,29.00726,8.79996,-99.0,-99.0,18.19891,,,,,,0
46,1027,01/03/2019,21.88,-102.46,1027,-99.0,-99.0,Lerma Santiago,Valle,28.41763,8.36111,-99.0,-99.0,17.55719,,,,,,0
47,1027,02/03/2019,21.88,-102.46,1027,-99.0,-99.0,Lerma Santiago,Valle,28.69073,8.50778,-99.0,-99.0,18.01587,,,,,,0
