,Unnamed: 0,Unnamed: 0.1,Ano,Mes,Dia,Antena,Latitud,Longitud,Temp_max_emas,Temp_min_emas,Temp_max_merra,Temp_min_merra,Temp_mean_merra,Temp_mean_emas,clase
0,1,1,2019,3,2,1008,22.2,-102.14,28.16934,9.50174,28.16934,9.50174,18.25198,18.25198,1
1,3,3,2019,3,2,1026,22.22,-102.17,28.16986,9.31339,28.16986,9.31339,18.11771,18.11771,1
2,5,5,2019,3,2,1029,22.24,-102.09,28.21735,9.7644,28.21735,9.7644,18.45068,18.45068,1
3,7,7,2019,3,2,1091,21.74,-102.72,29.29764,9.09241,29.29764,9.09241,18.57016,18.57016,1
4,9,9,2019,3,2,2001,32.11,-116.45,15.70486,9.16345,15.70486,9.16345,12.00372,12.00372,0
5,11,11,2019,3,2,2002,28.6,-113.56,26.42322,13.59369,26.42322,13.59369,17.98688,17.98688,0
6,13,13,2019,3,2,2006,29.49,-114.36,26.52048,13.99472,26.52048,13.99472,18.54044,18.54044,0
7,15,15,2019,3,2,2010,31.78,-115.77,21.66794,11.0585,21.66794,11.0585,15.51086,15.51086,0
8,17,17,2019,3,2,2020,32.13,-115.28,27.52512,13.71329,27.52512,13.71329,19.22055,19.22055,0
9,19,19,2019,3,2,2036,32.05,-116.68,16.28745,11.41513,16.28745,11.41513,13.72748,13.72748,0
10,21,21,2019,3,2,2045,31.79,-116.46,15.9165,9.88303,15.9165,9.88303,12.56927,12.56927,0
11,23,23,2019,3,2,2048,31.07,-115.58,19.07303,8.7822,19.07303,8.7822,12.867,12.867,0
12,25,25,2019,3,2,2054,31.03,-115.98,18.6684,10.95593,18.6684,10.95593,14.03195,14.03195,0
13,27,27,2019,3,2,2055,30.95,-116.1,18.7489,12.27411,18.7489,12.27411,14.8421,14.8421,0
14,29,29,2019,3,2,2060,30.88,-115.63,19.01044,8.67014,19.01044,8.67014,12.94894,12.94894,0
15,31,31,2019,3,2,2061,28.08,-113.09,27.38821,14.12885,27.38821,14.12885,19.2872,19.2872,0
16,33,33,2019,3,2,2065,31.79,-116.41,15.82489,9.46021,15.82489,9.46021,12.27411,12.27411,0
17,35,35,2019,3,2,2067,31.16,-115.72,18.99463,9.08929,18.99463,9.08929,13.01898,13.01898,0
18,37,37,2019,3,2,2096,31.27,-116.04,18.01343,10.75241,18.01343,10.75241,13.78293,13.78293,0
19,39,39,2019,3,2,2100,31.27,-115.77,19.25494,9.60889,19.25494,9.60889,13.44611,13.44611,0
20,41,41,2019,3,2,2105,30.97,-115.58,19.05933,8.68307,19.05933,8.68307,12.86874,12.86874,0
